actor,movie_or_TV_name
Rumbie Muzofa,The Last of Us
Juan Magana,The Last of Us
Juan Magana,Viral
Juan Magana,The Mosquito Coast
Juan Magana,La Gloria
Marcus Aurelio,Jade
Marcus Aurelio,The Last of Us
Marcus Aurelio,Sonic the Hedgehog 2
Marcus Aurelio,Batwoman
Marcus Aurelio,Altered Carbon
Marcus Aurelio,No Reservations
Marcus Aurelio,Riverdale
Marcus Aurelio,Ice
Marcus Aurelio,Zoo
Marcus Aurelio,The Flash
Marcus Aurelio,Arrow
Marcus Aurelio,UFC 102: Couture vs. Nogueira
Marcus Aurelio,UFC 90: Silva vs. Cote
Marcus Aurelio,UFC 86: Jackson vs. Griffin
Marcus Aurelio,UFC Fight Night 13: Florian vs. Lauzon
Marcus Aurelio,UFC 78: Validation
Marcus Aurelio,UFC 74: Respect
Marcus Aurelio,Pride Bushido 13
Marcus Aurelio,Pride FC Bushido Volume 13
Marcus Aurelio,Pride Bushido 11
Marcus Aurelio,Pride Bushido 10
Marcus Aurelio,Pride Bushido 8
Marcus Aurelio,Pride Bushido 6
Marcus Aurelio,Pride Bushido 4
Marcus Aurelio,Jade
Marcus Aurelio,Peacemaker
Marcus Aurelio,Legion
Pedro Pascal,My Dentist's Murder Trial
Pedro Pascal,Wonder Woman
Pedro Pascal,Freaky Tales
Pedro Pascal,Strange Way of Life
Pedro Pascal,The Last of Us
Pedro Pascal,Patagonia: Life at the Edge of the World
Pedro Pascal,The Unbearable Weight of Massive Talent
Pedro Pascal,The Bubble
Pedro Pascal,House Comes with a Bird
Pedro Pascal,The Book of Boba Fett
Marcus Aurelio,Interrogation
Marcus Aurelio,Vendetta
Pedro Pascal,Animal
Pedro Pascal,Calls
Pedro Pascal,Amend: The Fight for America
Pedro Pascal,We Can Be Heroes
Pedro Pascal,Wonder Woman 1984
Pedro Pascal,Home Movie: The Princess Bride
Pedro Pascal,Community Table Read
Pedro Pascal,Disney Gallery / Star Wars: The Mandalorian
Pedro Pascal,The Mandalorian
Pedro Pascal,Triple Frontier
Pedro Pascal,If Beale Street Could Talk
Pedro Pascal,Prospect
Pedro Pascal,The Equalizer 2
Pedro Pascal,Hope
Pedro Pascal,Kingsman: The Golden Circle
Pedro Pascal,The Great Wall
Pedro Pascal,The Earliest Show
Pedro Pascal,The Late Show with Stephen Colbert
Pedro Pascal,Narcos
Pedro Pascal,Bloodsucking Bastards
Pedro Pascal,Fire Meet Gasoline
Pedro Pascal,The Tonight Show Starring Jimmy Fallon
Pedro Pascal,Graceland
Pedro Pascal,Red Widow
Pedro Pascal,Charlie's Angels
John Getz,The Last of Us
Pedro Pascal,Sweet Little Lies
Pedro Pascal,Wonder Woman
Pedro Pascal,Game of Thrones
Pedro Pascal,Burn Notice: The Fall of Sam Axe
Pedro Pascal,The Adjustment Bureau
Pedro Pascal,Nikita
Pedro Pascal,The Good Wife
Pedro Pascal,Community
Pedro Pascal,Iris
Pedro Pascal,I Am That Girl
